school_id,school_name,street_address,city,state,zip_code,phone,county,total_students_listing,grades_listing,detail_href,source_url
061077001195,'o me-nok learning center,PO Box 65,Klamath,CA,95548,(707)464-0340,Del Norte County,86,KG-6,school_detail.asp?Search=1&State=06&SchoolPageNum=1&ID=061077001195,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=1&ID=061077001195
060429013779,21st century learning institute,PO Box 187,Beaumont,CA,92223,(951)769-8424,Riverside County,314,KG-12,school_detail.asp?Search=1&State=06&SchoolPageNum=1&ID=060429013779,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=1&ID=060429013779
062827013394,a place to grow,PO Box 878,Ojai,CA,93024,(805)640-4300,Ventura County,†,–,school_detail.asp?Search=1&State=06&SchoolPageNum=1&ID=062827013394,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=1&ID=062827013394
061044001166,a. e. arnold elementary,9281 Denni St.,Cypress,CA,90630,(714)220-6965,Orange County,560,KG-6,school_detail.asp?Search=1&State=06&SchoolPageNum=1&ID=061044001166,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=1&ID=061044001166
061488001834,a. g. cook elementary,9802 Woodbury Ave.,Garden Grove,CA,92844,(714)663-6251,Orange County,345,KG-6,school_detail.asp?Search=1&State=06&SchoolPageNum=1&ID=061488001834,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=1&ID=061488001834
063237004995,a. h. morgan elementary,1571 North Sycamore Ave.,Rialto,CA,92376,(909)820-7882,San Bernardino County,487,KG-5,school_detail.asp?Search=1&State=06&SchoolPageNum=1&ID=063237004995,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=1&ID=063237004995
060231000103,a. j. dorsa elementary,1290 Bal Harbor Dr.,San Jose,CA,95122,(408)928-7400,Santa Clara County,284,KG-5,school_detail.asp?Search=1&State=06&SchoolPageNum=1&ID=060231000103,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=1&ID=060231000103
061970010780,a. l. conner elementary,222 Fourth St.,Orange Cove,CA,93646,(559)305-7200,Fresno County,308,KG-5,school_detail.asp?Search=1&State=06&SchoolPageNum=1&ID=061970010780,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=1&ID=061970010780
062295007772,a. m. thomas middle,PO Box 158,Lost Hills,CA,93249,(661)797-2626,Kern County,90,6-8,school_detail.asp?Search=1&State=06&SchoolPageNum=1&ID=062295007772,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=1&ID=062295007772
063384005217,a. m. winn waldorf-inspired,3351 Explorer Dr.,Sacramento,CA,95827,(916)395-4505,Sacramento County,405,KG-8,school_detail.asp?Search=1&State=06&SchoolPageNum=1&ID=063384005217,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=1&ID=063384005217
063492005896,abbott middle,600 36th Ave.,San Mateo,CA,94403,(650)312-7600,San Mateo County,721,6-8,school_detail.asp?Search=1&State=06&SchoolPageNum=1&ID=063492005896,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=1&ID=063492005896
060002808271,abby reinke elementary,43799 Sunny Meadows Dr.,Temecula,CA,92592,(951)302-6610,Riverside County,559,KG-5,school_detail.asp?Search=1&State=06&SchoolPageNum=1&ID=060002808271,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=1&ID=060002808271
060162010232,abc secondary (alternative),12222 Cuesta Dr.,Cerritos,CA,90703,(562)229-7770,Los Angeles County,17,7-12,school_detail.asp?Search=1&State=06&SchoolPageNum=1&ID=060162010232,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=1&ID=060162010232
060162014664,abc virtual academy,11939 Aclare St.,Cerritos,CA,90703,(562)926-5566,Los Angeles County,0,KG-8,school_detail.asp?Search=1&State=06&SchoolPageNum=1&ID=060162014664,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=1&ID=060162014664
060162813064,able charter,6515 Inglewood Ave.,Stockton,CA,95207,(209)478-1600,San Joaquin County,"1,186",KG-12,school_detail.asp?Search=1&State=06&SchoolPageNum=1&ID=060162813064,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=1&ID=060162813064
062985004650,abraham lincoln,15324 California Ave.,Paramount,CA,90723,(562)602-8036,Los Angeles County,502,KG-5,school_detail.asp?Search=1&State=06&SchoolPageNum=2&ID=062985004650,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=2&ID=062985004650
063762002045,abraham lincoln alternative,2800 Rosamond Blvd.,Rosamond,CA,93560,(661)256-5090,Kern County,71,4-12,school_detail.asp?Search=1&State=06&SchoolPageNum=2&ID=063762002045,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=2&ID=063762002045
063315005148,abraham lincoln continuation,4341 Victoria Ave.,Riverside,CA,92507,(951)788-7371,Riverside County,148,9-12,school_detail.asp?Search=1&State=06&SchoolPageNum=2&ID=063315005148,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=2&ID=063315005148
